CloneID	Chromosome	Start	End	Case1.test	Case1.ref
A_14_P100000	04	40354254	40354313	432	249
A_14_P100001	09	114060099	114060146	362.5	215
A_14_P100002	18	14918795	14918854	748.5	353.5
A_14_P100003	01	206501334	206501393	171.5	91
A_14_P100004	19	60069707	60069757	486	264
A_14_P100005	21	14876312	14876366	584	323
A_14_P100006	07	54532292	54532351	467	195
A_14_P100009	09	19636699	19636758	572	292.5
A_14_P100010	11	63746801	63746857	610	360
A_14_P100011	01	38500215	38500274	534	329
A_14_P100013	03	49117495	49117551	749	421
A_14_P100014	11	68528459	68528518	196	100.5
A_14_P100015	20	29536104	29536161	363	212
A_14_P100016	08	134367165	134367224	441	216
A_14_P100017	07	94708478	94708537	399	171
A_14_P100018	20	32159244	32159303	529.5	272.5
A_14_P100019	13	85638560	85638619	782.5	434
A_14_P100020	03	168642463	168642522	328.5	196
A_14_P100021	08	411886	411945	339	203
A_14_P100022	03	139812670	139812729	522.5	305
A_14_P100023	17	70413047	70413106	456	163
A_14_P100024	11	12320484	12320543	488	256
A_14_P100025	02	145661481	145661540	577.5	253
A_14_P100026	03	185301990	185302043	485	264.5
A_14_P100027	16	47153487	47153546	301	202
A_14_P100028	16	11499205	11499264	632	398
A_14_P100029	10	127008292	127008351	312	230
A_14_P100030	03	126749713	126749772	499.5	294.5
A_14_P100031	20	40576798	40576857	717	361
A_14_P100032	19	46359164	46359223	375	189
A_14_P100033	02	160513736	160513795	408	206
A_14_P100034	01	98060835	98060894	296	158
A_14_P100035	16	79195214	79195271	327	203
A_14_P100036	07	132772112	132772171	1151.5	514
A_14_P100037	19	5776458	5776503	726	487
A_14_P100039	Y	7174031	7174090	502.5	452
A_14_P100040	01	157027336	157027395	377	188
A_14_P100041	20	46699875	46699934	740	374.5
A_14_P100042	11	660301	660360	732	425.5
A_14_P100043	11	8571856	8571909	356.5	193
A_14_P100044	14	23804584	23804635	268	206.5
A_14_P100045	07	75885407	75885451	418	232.5
A_14_P100046	16	17157632	17157691	479	281
A_14_P100047	19	232080	232139	564.5	291
A_14_P100048	06	108241465	108241524	414	247
A_14_P100049	03	188922854	188922913	413	228
A_14_P100050	01	156535732	156535791	386	201
A_14_P100051	03	70244398	70244457	914	564
A_14_P100052	08	38988316	38988375	729	480.5
A_14_P100053	03	45748565	45748624	581	373
A_14_P100054	01	18230188	18230247	711.5	349.5
A_14_P100055	02	135936845	135936904	943	496
A_14_P100056	02	86238910	86238969	298	161.5
A_14_P100057	01	111733105	111733164	554	258
A_14_P100058	15	41407234	41407293	701	375
A_14_P100059	07	30422501	30422560	590	262
A_14_P100060	12	51251295	51251354	258	117
A_14_P100061	X	62778857	62778916	470.5	373.5
A_14_P100062	15	46139947	46140006	462	212.5
A_14_P100063	13	74936995	74937054	550	337
A_14_P100064	10	1113877	1113936	150.5	113.5
A_14_P100065	03	7820117	7820176	305	161
A_14_P100066	19	56209855	56209908	229.5	136.5
A_14_P100067	11	126559985	126560044	271	186.5
A_14_P100068	16	21192520	21192579	622.5	345.5
A_14_P100069	19	41195474	41195533	246	142
A_14_P100070	03	197286417	197286476	420	253
A_14_P100071	16	65784870	65784915	390	218
A_14_P100072	08	109567976	109568035	667	426.5
A_14_P100073	04	132443852	132443911	398	247
A_14_P100074	12	91761165	91761224	303	136.5
A_14_P100076	02	153328904	153328963	346	176.5
A_14_P100077	16	30472579	30472638	799	399.5
A_14_P100078	01	42773691	42773750	1270	697
A_14_P100079	16	31047533	31047585	473	354
A_14_P100080	16	63676615	63676674	1009	620
A_14_P100081	11	2861550	2861609	350	192
A_14_P100082	01	26548882	26548938	236	127
A_14_P100083	01	153019706	153019765	1563.5	731
A_14_P100084	Y	14616451	14616510	139.5	110
A_14_P100085	11	123019201	123019260	719	466
A_14_P100086	19	18282118	18282170	1034	602.5
A_14_P100087	09	71570054	71570113	486.5	266.5
A_14_P100088	04	140483272	140483331	650	409
A_14_P100089	12	113583772	113583831	752	353
A_14_P100090	12	122957818	122957877	657	296
A_14_P100091	02	219220227	219220286	439	225
A_14_P100092	19	10302121	10302170	1042.5	778.5
A_14_P100093	16	68880321	68880380	367	222
A_14_P100095	19	10807099	10807144	506	281
A_14_P100096	04	39254260	39254319	227.5	140.5
A_14_P100097	16	28051135	28051194	577	344
A_14_P100099	17	73722736	73722795	401	162
A_14_P100100	14	23082779	23082838	270	201
A_14_P100102	01	59076673	59076732	572.5	299.5
A_14_P100103	11	67564153	67564200	688	415
A_14_P100104	10	13291155	13291214	271	180
A_14_P100105	07	43114823	43114882	1053.5	551
A_14_P100106	15	100074212	100074271	870	400.5
A_14_P100107	17	17757722	17757781	581.5	280.5
A_14_P100108	21	30910610	30910669	558	339
A_14_P100109	07	64309374	64309429	938.5	499.5
A_14_P100110	13	18650699	18650758	218.5	139.5
A_14_P100111	03	136381487	136381537	622.5	358.5
A_14_P100112	12	123395188	123395239	364	180
A_14_P100113	01	36600768	36600827	344.5	176.5
A_14_P100114	07	97663664	97663723	493	222
A_14_P100115	01	209984874	209984933	529	223.5
A_14_P100116	08	66219467	66219526	533	324.5
A_14_P100117	10	105421226	105421284	574.5	402.5
A_14_P100118	18	58029446	58029505	596.5	364
A_14_P100119	09	73551156	73551215	816	501
A_14_P100120	12	80005838	80005897	705	295
A_14_P100121	01	33033752	33033798	358.5	174.5
A_14_P100122	14	44045982	44046041	321	208
A_14_P100123	01	164632887	164632946	902	530
A_14_P100124	20	56767128	56767187	289	150
A_14_P100125	20	60333345	60333397	598	275
A_14_P100126	03	12200240	12200299	969.5	544
A_14_P100127	05	140573786	140573837	592.5	398.5
A_14_P100129	X	14352092	14352151	294	214
A_14_P100130	02	183912569	183912628	193	121
A_14_P100131	05	176595458	176595517	276	189
A_14_P100132	03	52432656	52432715	535	320.5
A_14_P100134	11	30516511	30516570	382.5	232
A_14_P100135	12	6434689	6434748	791	310
A_14_P100136	02	230356534	230356593	856	398
A_14_P100138	19	11211272	11211316	765	408
A_14_P100139	11	44910506	44910565	537	306.5
A_14_P100140	01	96213578	96213637	400	178
A_14_P100141	03	66512060	66512119	324.5	184.5
A_14_P100142	10	11651741	11651800	351.5	287.5
A_14_P100143	05	15794709	15794768	564	312
A_14_P100145	11	64238843	64238902	541	297.5
A_14_P100146	07	94576156	94576215	376	189
A_14_P100147	19	18444628	18444678	648	380
A_14_P100149	21	27514820	27514879	388	242
A_14_P100150	14	95080625	95080682	421.5	259
A_14_P100151	17	24516344	24516403	286	147
A_14_P100152	02	96689104	96689163	445.5	218.5
A_14_P100153	09	33066240	33066291	446	256
A_14_P100154	05	122389348	122389407	230	152
A_14_P100156	04	166529184	166529243	927	601
A_14_P100158	04	92117432	92117491	249	159
A_14_P100159	20	46972371	46972419	648	422
A_14_P100160	13	98353256	98353315	391	252
A_14_P100161	12	37989676	37989735	569	231
A_14_P100163	04	37467589	37467648	346	211
A_14_P100164	X	54917167	54917226	212.5	162.5
A_14_P100165	01	1818951	1819010	979	528
A_14_P100166	16	88504477	88504531	309.5	182.5
A_14_P100167	01	28768229	28768288	449	222
A_14_P100168	09	128904018	128904077	568.5	323
A_14_P100169	17	31290503	31290551	353.5	200
A_14_P100170	19	17520911	17520970	356.5	201.5
A_14_P100171	09	132720740	132720799	542	380
A_14_P100172	07	116108470	116108529	412	213
A_14_P100173	06	35824273	35824322	801	443
A_14_P100174	19	39460158	39460217	331	217
A_14_P100175	12	56491979	56492038	1026.5	310.5
A_14_P100176	09	88368070	88368129	515	294
A_14_P100177	16	49375741	49375800	201	138
A_14_P100178	19	34394420	34394479	439	266
A_14_P100179	14	33472285	33472344	317	231
A_14_P100180	02	175608743	175608802	843.5	391.5
A_14_P100181	03	142177914	142177968	315.5	168.5
A_14_P100182	12	56255954	56256013	552.5	282.5
A_14_P100183	17	351191	351250	400	170
A_14_P100184	22	25163875	25163934	268	154
A_14_P100185	08	55215225	55215284	323	209
A_14_P100187	11	116302097	116302156	426.5	229.5
A_14_P100188	X	12663918	12663977	1100	842.5
A_14_P100189	05	140886029	140886088	551	333
A_14_P100191	06	10622190	10622249	307	160
A_14_P100192	13	23232216	23232267	385.5	190.5
A_14_P100193	11	105355645	105355702	420	275
A_14_P100194	14	102036198	102036257	222	194
A_14_P100195	19	38383404	38383451	687	347
A_14_P100196	12	2611943	2612002	512	244
A_14_P100197	05	733932	733991	125.5	69
A_14_P100198	14	22566837	22566896	266	177.5
A_14_P100199	06	143737426	143737485	429	229.5
A_14_P100200	01	156735779	156735838	655	357
A_14_P100201	02	95896907	95896966	1402	690
A_14_P100202	12	79816571	79816630	1004	386.5
A_14_P100203	22	41995156	41995200	450	257
A_14_P100204	21	23609051	23609110	533	379
A_14_P100205	01	143057538	143057597	3021	1564
A_14_P100206	18	58203621	58203680	429	203
A_14_P100207	20	47597647	47597706	300.5	158
A_14_P100208	11	75190143	75190202	472	269
A_14_P100209	10	124337702	124337755	658.5	457.5
A_14_P100210	19	41186031	41186087	885	523
A_14_P100211	13	91143561	91143620	336	204
A_14_P100212	04	78884081	78884130	1285	781
A_14_P100213	09	108752037	108752096	330	201
A_14_P100214	13	31788549	31788608	429	262
A_14_P100215	13	51224460	51224519	529	295
A_14_P100217	05	130034340	130034399	557	377
A_14_P100218	14	74638184	74638242	417.5	337
A_14_P100219	06	20654594	20654653	563	343
A_14_P100221	11	2996418	2996477	597.5	380.5
A_14_P100222	07	131406022	131406081	450	219
A_14_P100223	X	149654249	149654308	376	308
A_14_P100224	04	123149033	123149088	433	236
A_14_P100225	06	44466051	44466110	467	296
A_14_P100226	07	30894548	30894607	219	107
A_14_P100227	22	36527440	36527493	364	228.5
